plant_name,min_temp_f,max_temp_f,min_humidity,max_humidity,min_light_lux,max_light_lux
Dracaena Marginata,60,80,40,60,2500,10000
Dragon Tree,60,80,40,60,2500,10000
Dumb Cane,60,80,50,70,1000,5000
Dwarf Banana,60,85,50,70,5000,15000
Dwarf Citrus,55,85,40,60,5000,15000
Dwarf Umbrella Tree,60,80,40,60,2500,10000
Easter Lily,55,75,40,60,5000,15000
Echeveria,55,85,20,40,10000,20000
Elephant Ear,60,85,60,80,2500,10000
English Ivy,45,80,40,60,2500,10000
Eucalyptus,55,80,30,50,5000,15000
False Aralia,60,80,50,70,2500,10000
Fatsia Japonica,50,75,50,70,2500,10000
Fern Leaf Cactus,55,85,30,50,5000,15000
Fiddle Leaf Fig,60,80,40,60,5000,15000
Firecracker Plant,60,85,40,60,5000,15000
Fittonia,60,80,60,80,1000,5000
Flaming Katy,55,80,30,50,5000,15000
Flamingo Flower,60,85,60,80,2500,10000
Foxglove,55,75,50,70,2500,10000
Frangipani,60,90,40,60,10000,25000
Friendship Plant,60,80,50,70,2500,7500
Fuchsia,55,75,50,70,2500,10000
Gardenia,60,80,60,80,5000,15000
Geranium,55,80,40,60,5000,15000
Gerbera Daisy,55,75,40,60,5000,15000
Globe Amaranth,60,85,30,50,5000,15000
Goldfish Plant,60,80,50,70,2500,10000
Grape Ivy,55,80,40,60,2500,10000
Haworthia,55,80,30,50,5000,15000
Heartleaf Philodendron,60,85,40,60,1000,5000
Heliotrope,55,80,40,60,5000,15000
Hens and Chicks,55,85,20,40,10000,20000
Hibiscus,60,90,50,70,5000,15000
Hindu Rope Plant,55,80,40,60,2500,10000
Hoya,60,80,40,60,2500,10000
Hyacinth,45,65,40,60,5000,15000
Hydrangea,55,75,50,70,2500,10000
Impatiens,60,80,50,70,2500,7500
Inch Plant,55,80,40,60,2500,10000
Jade Plant,55,75,30,50,5000,15000
Janet Craig Dracaena,60,80,40,60,1000,5000
Japanese Maple Bonsai,50,75,50,70,5000,15000
Jasmine,55,80,40,60,5000,15000
Kangaroo Paw Fern,60,80,50,70,1000,5000
Kentia Palm,55,80,40,60,1000,5000
Kumquat,55,85,40,60,5000,15000
Lace Aloe,55,80,30,50,5000,15000
Lantana,60,90,30,50,5000,15000
Lavender,55,80,30,50,7500,20000
Lemon Balm,55,80,40,60,5000,15000
Lemon Button Fern,55,75,60,80,1000,5000
Lipstick Plant,60,80,50,70,2500,10000
Lithops,55,90,20,40,10000,25000
Lucky Bamboo,60,80,40,60,1000,5000
Madagascar Dragon Tree,60,80,40,60,2500,10000
Maidenhair Fern,60,80,60,80,1000,5000
Majesty Palm,60,80,50,70,2500,10000
Mandevilla,60,85,40,60,5000,15000
Maranta,60,80,60,80,1000,5000
Marigold,55,85,40,60,5000,15000
Meyer Lemon,55,85,40,60,5000,15000
Mint,55,80,50,70,2500,10000
Money Tree,60,80,40,60,2500,10000
Monstera,60,85,50,70,2500,10000
Moses in the Cradle,60,80,40,60,2500,10000
Nerve Plant,60,80,60,80,1000,5000
Norfolk Island Pine,55,75,50,70,2500,10000
Oleander,55,85,30,50,5000,15000
Orchid,60,80,50,70,2500,10000
Oregano,55,80,30,50,5000,15000
Oxalis,55,75,40,60,2500,10000
Pachira,60,80,40,60,2500,10000
Painted Lady Philodendron,60,80,50,70,2500,10000
Panda Plant,55,80,30,50,5000,15000
Pansy,40,65,40,60,5000,15000
Paperwhite Narcissus,50,70,40,60,5000,15000
Parlor Palm,60,80,40,60,1000,5000
Parsley,50,80,40,60,5000,15000
Passion Flower,55,85,40,60,5000,15000
Peace Lily,60,85,50,70,1000,5000
Peacock Plant,60,80,60,80,1000,5000
Peperomia,60,80,40,60,2500,10000
Periwinkle,55,80,40,60,5000,15000
Petunia,55,80,40,60,5000,15000
Philodendron,60,85,40,60,1000,5000
Piggyback Plant,55,75,50,70,2500,7500
Pilea,55,80,40,60,2500,10000
Pink Quill,55,80,50,70,2500,10000
Pitcher Plant,55,80,60,80,5000,15000
Polka Dot Plant,60,80,50,70,2500,10000
Ponytail Palm,55,85,30,50,5000,15000
Pothos,60,85,40,60,1000,5000
Prayer Plant,60,80,60,80,1000,5000
Primrose,50,70,50,70,2500,10000
Purple Passion Plant,55,80,40,60,2500,10000
Purple Waffle Plant,60,80,60,80,2500,7500
Rabbit Foot Fern,55,75,50,70,2500,7500
Ranunculus,45,65,40,60,5000,15000
Rattlesnake Plant,60,80,60,80,1000,5000
Rex Begonia,60,80,50,70,2500,7500
Rosemary,55,80,30,50,7500,20000
Rubber Plant,60,80,40,60,2500,10000
Sage,55,80,30,50,5000,15000
Sago Palm,55,85,40,60,5000,15000
Satin Pothos,60,80,40,60,1000,5000
Schefflera,60,80,40,60,2500,10000
Sensitive Plant,60,85,50,70,5000,15000
Shamrock Plant,55,75,40,60,2500,10000
Shrimp Plant,60,85,40,60,2500,10000
Silver Satin Pothos,60,80,40,60,1000,5000
Snake Plant,55,85,30,50,500,10000
Snapdragon,55,75,40,60,5000,15000
Spider Plant,55,80,40,60,2500,10000
Staghorn Fern,55,80,60,80,2500,10000
String of Bananas,55,80,30,50,5000,15000
String of Pearls,55,80,30,50,5000,15000
Stromanthe,60,80,60,80,1000,5000
Succulent,55,85,20,40,5000,20000
Swedish Ivy,55,80,40,60,2500,10000
Sweet Potato Vine,60,85,40,60,5000,15000
Swiss Cheese Plant,60,85,50,70,2500,10000
Thyme,55,80,30,50,5000,15000
Ti Plant,60,85,50,70,2500,10000
Tulip,40,60,40,60,5000,15000
Umbrella Plant,60,80,40,60,2500,10000
Venus Fly Trap,55,85,60,80,5000,15000
Wandering Jew,55,80,40,60,2500,10000
Wax Plant,60,80,40,60,2500,10000
Weeping Fig,60,80,40,60,2500,10000
Yucca,55,90,20,40,5000,20000
Zebra Plant,60,80,60,80,2500,10000
Zinnia,60,85,40,60,5000,15000
ZZ Plant,60,80,30,50,500,5000
